36Z:acc 0.9462, nmi 0.8904, ari 0.8873, f1 0.9465
36Z2:acc 0.9478, nmi 0.8932, ari 0.8904, f1 0.9482
36P:acc 0.9447, nmi 0.8880, ari 0.8836, f1 0.9451
37Q:acc 0.9442, nmi 0.8873, ari 0.8825, f1 0.9446
37Z:acc 0.9463, nmi 0.8904, ari 0.8874, f1 0.9466
37Z2:acc 0.9478, nmi 0.8931, ari 0.8903, f1 0.9482
37P:acc 0.9448, nmi 0.8877, ari 0.8838, f1 0.9451
38Q:acc 0.9443, nmi 0.8873, ari 0.8827, f1 0.9447
38Z:acc 0.9464, nmi 0.8907, ari 0.8875, f1 0.9467
38Z2:acc 0.9478, nmi 0.8930, ari 0.8903, f1 0.9482
38P:acc 0.9452, nmi 0.8884, ari 0.8848, f1 0.9456
39Q:acc 0.9445, nmi 0.8877, ari 0.8832, f1 0.9449
39Z:acc 0.9465, nmi 0.8908, ari 0.8877, f1 0.9468
39Z2:acc 0.9481, nmi 0.8937, ari 0.8908, f1 0.9485
39P:acc 0.9454, nmi 0.8887, ari 0.8851, f1 0.9457
40Q:acc 0.9448, nmi 0.8884, ari 0.8839, f1 0.9452
40Z:acc 0.9467, nmi 0.8913, ari 0.8882, f1 0.9470
40Z2:acc 0.9480, nmi 0.8936, ari 0.8906, f1 0.9484
40P:acc 0.9454, nmi 0.8887, ari 0.8851, f1 0.9457
41Q:acc 0.9450, nmi 0.8886, ari 0.8842, f1 0.9454
41Z:acc 0.9468, nmi 0.8914, ari 0.8883, f1 0.9471
41Z2:acc 0.9478, nmi 0.8934, ari 0.8903, f1 0.9483
41P:acc 0.9456, nmi 0.8891, ari 0.8855, f1 0.9460
42Q:acc 0.9451, nmi 0.8887, ari 0.8844, f1 0.9454
42Z:acc 0.9467, nmi 0.8913, ari 0.8881, f1 0.9470
42Z2:acc 0.9479, nmi 0.8936, ari 0.8904, f1 0.9483
42P:acc 0.9456, nmi 0.8889, ari 0.8855, f1 0.9460
43Q:acc 0.9454, nmi 0.8891, ari 0.8850, f1 0.9457
43Z:acc 0.9466, nmi 0.8912, ari 0.8879, f1 0.9470
43Z2:acc 0.9478, nmi 0.8937, ari 0.8902, f1 0.9483
43P:acc 0.9455, nmi 0.8887, ari 0.8853, f1 0.9459
44Q:acc 0.9455, nmi 0.8892, ari 0.8852, f1 0.9458
44Z:acc 0.9467, nmi 0.8914, ari 0.8881, f1 0.9471
44Z2:acc 0.9479, nmi 0.8940, ari 0.8904, f1 0.9484
44P:acc 0.9455, nmi 0.8886, ari 0.8852, f1 0.9458
45Q:acc 0.9455, nmi 0.8892, ari 0.8852, f1 0.9458
45Z:acc 0.9467, nmi 0.8914, ari 0.8881, f1 0.9471
45Z2:acc 0.9478, nmi 0.8939, ari 0.8902, f1 0.9483
45P:acc 0.9456, nmi 0.8888, ari 0.8855, f1 0.9460
46Q:acc 0.9455, nmi 0.8891, ari 0.8851, f1 0.9458
46Z:acc 0.9467, nmi 0.8915, ari 0.8881, f1 0.9471
46Z2:acc 0.9478, nmi 0.8941, ari 0.8901, f1 0.9483
46P:acc 0.9456, nmi 0.8889, ari 0.8855, f1 0.9460
47Q:acc 0.9455, nmi 0.8892, ari 0.8853, f1 0.9459
47Z:acc 0.9468, nmi 0.8917, ari 0.8884, f1 0.9472
47Z2:acc 0.9478, nmi 0.8943, ari 0.8902, f1 0.9483
47P:acc 0.9456, nmi 0.8888, ari 0.8855, f1 0.9460
48Q:acc 0.9455, nmi 0.8890, ari 0.8851, f1 0.9458
48Z:acc 0.9467, nmi 0.8916, ari 0.8881, f1 0.9471
48Z2:acc 0.9480, nmi 0.8946, ari 0.8906, f1 0.9485
48P:acc 0.9456, nmi 0.8887, ari 0.8855, f1 0.9459
49Q:acc 0.9455, nmi 0.8889, ari 0.8851, f1 0.9458
49Z:acc 0.9467, nmi 0.8916, ari 0.8881, f1 0.9471
49Z2:acc 0.9480, nmi 0.8946, ari 0.8906, f1 0.9485
49P:acc 0.9458, nmi 0.8890, ari 0.8858, f1 0.9461
50Q:acc 0.9455, nmi 0.8890, ari 0.8852, f1 0.9458
50Z:acc 0.9468, nmi 0.8917, ari 0.8883, f1 0.9472
50Z2:acc 0.9481, nmi 0.8947, ari 0.8907, f1 0.9486
50P:acc 0.9458, nmi 0.8892, ari 0.8860, f1 0.9462
51Q:acc 0.9455, nmi 0.8893, ari 0.8853, f1 0.9459
51Z:acc 0.9468, nmi 0.8918, ari 0.8884, f1 0.9472
51Z2:acc 0.9482, nmi 0.8948, ari 0.8909, f1 0.9486
51P:acc 0.9459, nmi 0.8894, ari 0.8862, f1 0.9463
52Q:acc 0.9455, nmi 0.8890, ari 0.8852, f1 0.9458
52Z:acc 0.9468, nmi 0.8918, ari 0.8884, f1 0.9472
52Z2:acc 0.9482, nmi 0.8948, ari 0.8909, f1 0.9486
52P:acc 0.9459, nmi 0.8894, ari 0.8862, f1 0.9463
53Q:acc 0.9455, nmi 0.8891, ari 0.8854, f1 0.9459
53Z:acc 0.9469, nmi 0.8922, ari 0.8886, f1 0.9473
53Z2:acc 0.9482, nmi 0.8949, ari 0.8909, f1 0.9486
53P:acc 0.9460, nmi 0.8896, ari 0.8863, f1 0.9463
